Branch,OC_Boys_First,OC_Boys_Last,OC_Girls_First,OC_Girls_Last,EWS_Boys_First,EWS_Boys_Last,EWS_Girls_First,EWS_Girls_Last,BCA_Boys_First,BCA_Boys_Last,BCA_Girl_First,BCA_Girls_Last,BCB_Boys_First,BCB_Boys_Last,BCB_Girls_First,BCB_Girls_Last,BCC_Boys_First,BCC_Boys_Last,BCC_Girls_First,BCC_Girls_Last,BCD_Boys_First,BCD_Boys_Last,BCD_Girls_First,BCD_Girls_Last,BCE_Boys_First,BCE_Boys_Last,BCE_Girls_First,BCE_Girl_Last,SC_Boys_First,SC_Boys_Last,SC_Girl_First,SC_Girl_Last,ST_Boys_First,ST_Boys_last,ST_Girls_First,ST_Girls_Last
CIVIL,30008,33033,15710,29779,37298,37298,106415,106415,45901,94821,--,--,43846,113867,56650,56650,75788,75788,--,--,22899,93323,57122,105984,48574,99281,--,--,56912,116199,73508,119225,32318,121094,116115,118011
EEE,62605,62605,40292,68507,45118,80412,68348,80745,71759,71759,113378,113378,23429,104456,101967,101967,--,--,--,--,64487,71903,42210,111693,21828,70726,113788,113788,48380,119687,88835,120583,24876,119991,70087,101417
MEC,23470,42269,57963,57963,--,--,57963,57963,46738,105364,--,--,108199,108199,80066,80066,--,--,--,--,25044,78020,--,--,64608,112270,--,--,76985,121453,--,--,85887,121191,--,--
ECE,8229,13685,6270,22719,12782,26399,14150,26426,29533,67651,25775,65875,11146,66072,13622,81557,18255,18255,--,--,7802,45398,18494,78002,32844,71252,38806,38806,17301,68765,55366,102446,10696,48677,32245,37997
CSE,286,7702,4180,8183,286,10163,6953,9663,2190,24211,11308,36438,144,15506,5572,15879,--,--,37898,37898,233,11758,4235,13783,4775,16268,13946,49110,3994,22302,6572,22237,868,10824,5074,26408
IT,1099,12653,8326,12754,2476,15758,8852,12884,28173,41704,27612,42798,974,26240,13730,31640,--,--,57575,57575,1494,22486,16656,29638,21182,24815,37952,37952,11786,47140,28528,53011,4607,28937,38849,55235
