Branch,OC_Boys_First,OC_Boys_Last,OC_Girls_First,OC_Girls_Last,EWS_Boys_First,EWS_Boys_Last,EWS_Girls_First,EWS_Girls_Last,BCA_Boys_First,BCA_Boys_Last,BCA_Girl_First,BCA_Girls_Last,BCB_Boys_First,BCB_Boys_Last,BCB_Girls_First,BCB_Girls_Last,BCC_Boys_First,BCC_Boys_Last,BCC_Girls_First,BCC_Girls_Last,BCD_Boys_First,BCD_Boys_Last,BCD_Girls_First,BCD_Girls_Last,BCE_Boys_First,BCE_Boys_Last,BCE_Girls_First,BCE_Girl_Last,SC_Boys_First,SC_Boys_Last,SC_Girl_First,SC_Girl_Last,ST_Boys_First,ST_Boys_last,ST_Girls_First,ST_Girls_Last
CIVIL,25926,25926,48448,105539,--,--,48448,48448,62940,93856,42024,42024,33594,100495,--,--,--,--,--,--,31208,35901,--,--,80021,107777,--,--,36477,70373,91734,113706,32304,107372,21160,113415
EEE,18096,42439,18835,100786,22032,86406,--,--,45801,78068,33824,90567,46276,95017,37671,73369,--,--,--,--,24755,96494,38302,100273,89606,90965,101641,101641,29050,121118,66864,94062,35992,118193,80798,120061
MEC,16201,87767,39316,88818,40046,106711,39316,39316,41443,109355,--,--,37117,88190,--,--,--,--,--,--,51684,60668,--,--,59457,84605,--,--,73678,120339,78878,78878,39975,119306,--,--
ECE,5991,19425,5019,25302,7753,24881,7747,25516,17661,56208,24127,73111,8762,56388,7566,60396,40329,53090,--,--,9940,54855,12908,57969,31041,69063,46875,56926,29578,59259,14523,88293,30164,48963,26732,76774
CSE,1463,7397,3027,8207,2681,8804,4763,9236,9496,18663,5930,26551,771,13977,6155,13658,21322,21322,14302,14302,584,11477,2399,12398,5466,20027,6138,20537,697,18113,6848,21659,2572,24946,9366,38975
IT,4152,12083,7503,13628,7947,14762,8909,15592,8593,30400,21862,49423,6285,22000,13779,21696,18734,18734,--,--,9026,21447,11759,25243,10407,37759,18230,40352,28075,45784,28784,52011,22462,39737,34302,56553
CSEDS,4855,9638,11060,11534,4992,10172,11060,11060,21985,24732,37834,37834,7652,16584,13971,16754,--,--,91008,91008,12958,14146,13314,15458,30538,30538,--,--,23320,30692,38008,58805,27373,31912,34287,34287
CSEAIML,3492,9282,6590,10735,4564,7642,9257,9257,19797,23099,13954,13954,5766,15762,14618,16232,--,--,--,--,7699,9276,8038,16883,18470,18470,39623,39623,25987,29963,31847,44241,26349,26349,37575,37575
