Branch,OC_Boys_First,OC_Boys_Last,OC_Girls_First,OC_Girls_Last,EWS_Boys_First,EWS_Boys_Last,EWS_Girls_First,EWS_Girls_Last,BCA_Boys_First,BCA_Boys_Last,BCA_Girl_First,BCA_Girls_Last,BCB_Boys_First,BCB_Boys_Last,BCB_Girls_First,BCB_Girls_Last,BCC_Boys_First,BCC_Boys_Last,BCC_Girls_First,BCC_Girls_Last,BCD_Boys_First,BCD_Boys_Last,BCD_Girls_First,BCD_Girls_Last,BCE_Boys_First,BCE_Boys_Last,BCE_Girls_First,BCE_Girl_Last,SC_Boys_First,SC_Boys_Last,SC_Girl_First,SC_Girl_Last,ST_Boys_First,ST_Boys_last,ST_Girls_First,ST_Girls_Last
CIVIL,55480,55480,12554,12554,102318,102318,60106,60106,49784,92879,101008,101008,93697,101939,57691,60835,--,--,--,--,38365,111118,84074,84787,78447,78447,84663,84663,35729,116372,104992,118737,33633,120154,58042,95854
EEE,--,--,15645,18310,14002,31708,29517,29517,38326,112767,56852,56852,35130,85454,28998,73867,79617,79617,--,--,18854,107432,49729,85396,--,--,--,--,41771,116808,--,--,35793,62568,50016,61857
MEC,--,--,--,--,31864,31864,64515,64515,82125,82125,--,--,11953,96881,--,--,17136,76488,--,--,19846,107560,--,--,--,--,--,--,65636,116006,--,--,48280,70142,--,--
ECE,6187,8317,8040,11426,8517,15110,9125,12076,15805,25585,25949,29367,6292,27712,9802,30806,--,--,--,--,12426,28535,11659,32699,24993,29178,58473,58473,20892,47653,43222,77250,21089,35537,43439,81120
CSE,483,4369,926,5912,756,5157,4556,6534,5100,10660,2886,18299,896,6796,751,7415,--,--,6076,10287,517,7582,3515,9395,570,12470,9696,28566,5292,21360,6442,23395,1334,15200,3723,17622
IT,1000,7772,5962,8368,6356,9714,6812,8611,15255,22212,22690,46263,3807,14810,7632,14621,34684,34684,--,--,3806,16135,4316,18068,17034,21352,23468,23468,5537,43669,30973,47073,17458,27646,27990,27990
CSEDS,1444,6511,2952,7624,4857,7452,6120,7901,12834,16329,17750,17750,5457,11622,7129,11912,34473,34473,--,--,1168,12109,9201,15857,11774,12112,34449,41835,24104,30749,28132,44724,11723,22727,37539,37539
CSEAIML,467,4873,4106,6781,2488,5993,4673,6962,6637,11950,9904,26712,2276,8565,6363,10540,--,--,21010,21010,1921,8519,5685,7298,7177,15869,19615,64559,23760,31154,9041,31117,10789,17881,18326,18543
