Branch,OC_Boys_First,OC_Boys_Last,OC_Girls_First,OC_Girls_Last,EWS_Boys_First,EWS_Boys_Last,EWS_Girls_First,EWS_Girls_Last,BCA_Boys_First,BCA_Boys_Last,BCA_Girl_First,BCA_Girls_Last,BCB_Boys_First,BCB_Boys_Last,BCB_Girls_First,BCB_Girls_Last,BCC_Boys_First,BCC_Boys_Last,BCC_Girls_First,BCC_Girls_Last,BCD_Boys_First,BCD_Boys_Last,BCD_Girls_First,BCD_Girls_Last,BCE_Boys_First,BCE_Boys_Last,BCE_Girls_First,BCE_Girl_Last,SC_Boys_First,SC_Boys_Last,SC_Girl_First,SC_Girl_Last,ST_Boys_First,ST_Boys_last,ST_Girls_First,ST_Girls_Last
CIVIL,37185,79763,--,--,--,--,--,--,55375,62320,--,--,41756,87004,56368,56368,--,--,--,--,24573,104477,--,--,66594,71426,--,--,61221,120144,--,--,38118,119534,--,--
EEE,39755,44110,20322,42134,32907,47698,28342,48496,41618,60207,--,--,32686,88687,--,--,--,--,--,--,35769,114454,27565,66969,54903,54903,114027,114027,54878,113101,77256,92959,38376,114883,60056,120528
MEC,22861,73393,89073,89073,93542,93542,--,--,44437,44437,--,--,85411,85411,--,--,--,--,--,--,48739,48739,--,--,79924,108278,--,--,72054,120961,--,--,59055,121204,--,--
ECE,9621,19600,15052,16664,14558,27620,13363,20907,32549,71339,33025,54778,6758,71107,28169,88268,38773,70979,--,--,13652,56598,18499,58177,17904,40675,48040,53744,21779,64069,21119,91594,23079,42745,55195,82069
CSE,3956,8168,1780,8570,3956,10221,3936,10782,6568,17152,12814,24706,1806,16199,5166,15933,19368,19368,99803,99803,2404,12972,3084,15746,12082,21021,26395,94685,7560,29100,8483,41924,5168,17690,10515,24015
IT,5658,14332,8453,15884,11994,17894,11871,17762,22676,32349,25897,65165,12438,32573,13558,36686,17114,17114,--,--,7079,24316,17680,24411,18286,30645,40439,49052,36095,51096,42823,78795,14910,34166,28494,47291
CSEAIML,2762,10322,1964,12339,6510,11785,5848,12482,15305,38712,22312,35093,12126,20728,8069,18778,--,--,38538,38538,7679,15197,3130,19679,10589,18606,45981,45981,17223,40364,10498,72665,5200,25263,29430,41023
